Library Name,Address,Year,Street Address,City,Zip Code
Dr. Mahmud Hussain Library,"Apt. 588 76875 Carlton Plains, New Noel, MD 41314",1934,52206 Ronni Oval,Powlowskiview,93019
Dr. Vijay Pal Memorial Library,"77132 Senaida Vista, Morarview, AZ 65030-7058",2008,6536 Janie Mews,Jonieburgh,94934
Dr Williams's Library,"Apt. 358 8997 Hayden Ports, Nedchester, UT 57111",1921,818 Paris Turnpike,North Solangemouth,23181
Drill Hall Library,"843 Manual Viaduct, New Freddiestad, SD 53108-5400",1950,645 Wolf Prairie,Mrazbury,41705-8809
Duchess Anna Amalia Library,"Apt. 997 95693 Rasheeda Oval, Tennilleton, MD 92936-0783",1948,16118 Wolff Mews,South Stephaniafort,86201
Dyal Singh Trust Library,"Suite 510 735 Bartell Pike, Port Lucrecia, NH 68250",1972,70411 Nolan Dale,North Jared,84495-2357
Edmonton Public Library,"37390 Viva Walks, South Lorena, ME 68979-4997",1982,42824 Rodrick Drive,Larryland,01763-3721
Elyachar Central Library,"882 Hilpert Forks, Cristview, SD 60803-1483",1969,97703 Bogisich Ridge,Brauntown,28452-7907
Enoch Pratt Free Library,"Suite 468 997 Rosenbaum Trail, Connellyberg, TX 20744-9820",1950,75738 Rhea Unions,Christenaport,65841-1166
Fairfax County Public Library,"3665 Leo Fields, East Gene, MS 47818",1989,503 DuBuque Drive,Dustytown,23208
Family History Library,"Suite 240 5683 Gerlach Lakes, Josettefort, NC 14334-8542",1934,6335 Jacobs Neck,Robinmouth,02436-4876
Folger Shakespeare Library,"Apt. 448 45408 Hane Prairie, Port Leabury, MO 34509-2369",1994,305 Nicolle Meadows,Lake Gilbert,75728-2966
Francis Skaryna Belarusian Library and Museum,"151 Sterling Locks, Rauland, IN 70545",1976,4081 Kerstin Light,Mrazmouth,64306-0210
Frank Melville Jr. Memorial Library,"Suite 143 16422 Schneider Tunnel, South Iraida, KY 18860-8241",1985,19143 Dwight Islands,Lake Junieton,39622
Free Library of Philadelphia,"Apt. 520 9483 Melani Ferry, Lake Groverstad, UT 11529-1119",1987,65813 Baumbach Extension,South Tamekamouth,44656
German Central Library for the Blind,"Suite 418 246 Oberbrunner Coves, Moiraport, OR 66425",1939,110 Schinner Garden,West Donald,79091
German National Library,"Suite 603 31137 Barton Mall, Arnoldoburgh, AR 63722-0357",2003,89965 Zulauf Via,Hermistonchester,87132
German National Library of Economics,"101 Abraham Burgs, Prosaccoview, MN 37957-0363",1978,5255 Feil Haven,West Oliviahaven,78725-7188
German National Library of Medicine,"Apt. 985 2693 Merlin Center, North Salina, CO 27100",1983,57292 Adrian Point,O'Reillymouth,10839
German National Library of Science and Technology,"Suite 968 24606 Johnathon Corners, Lowellport, MN 57610",1975,83630 Micheal Track,Alicialand,07831-2924
Glasgow University Library,"Suite 751 489 Nicolas Park, Port Joeyberg, AL 24068",1991,2737 Heathcote Circles,West Garfieldmouth,07858-0263
Göttingen State and University Library,"775 Dickens Mills, Huelside, IA 01128-7616",1941,30275 Dick Tunnel,Carmeliaberg,92135-9052
Guangzhou Library,"229 Paucek Turnpike, East Darrin, FL 41412-6565",2019,16233 Jessika Trafficway,Langworthberg,51871-6342
Greifswald University Library,"160 Rusty Springs, Port Stefani, NH 10414",1998,85494 Mitchell Harbor,Rebeckahaven,41724
Halifax Central Library,"Suite 678 737 Stehr Port, Vernburgh, KS 54310",1926,45339 Conn Canyon,North Lonny,10215
Haskell Free Library and Opera House,"Suite 996 77630 Harris Shores, Shaunfurt, ID 34866-8956",2016,145 Lee Mews,East Dickside,21943-6968
"Hesburgh Library, Notre Dame, Indiana","Suite 362 881 Mertz Row, Lake Matildestad, AR 43878-5612",1998,748 Tromp Orchard,West Christoper,39146
Hessian State Library,"Suite 818 929 Erdman Row, Dietrichshire, AL 13612",2002,5944 Brakus Lake,Russelborough,88578
Hershey Public Library,"Suite 664 646 Rolfson Hills, West Viviennehaven, WI 21506-2864",1968,84793 Upton Course,Jcburgh,82993-7963
Hilandar Research Library,"685 Labadie Gateway, Bergnaumbury, AR 55012-0386",1906,68123 Hauck Pass,South Shoshana,18243
Homer Babbidge Library,"6727 Raphael Falls, East Theron, CA 95584",2011,165 Wiegand Radial,Zemlakport,21677-4272
Hong Kong Central Library,"9938 Eugene Stravenue, Port Celine, OR 00400-6362",1919,50369 Abel Lights,West Kellybury,77566
Houston Public Library,"7869 Rob Village, Manuelfurt, DE 66899",2006,74464 Jody Trafficway,New Tracey,22101-3725
Hummelstown Public Library,"Suite 970 55518 Dennis Summit, South Nannetteside, ID 04353-0225",1917,201 Bernadine Village,South Salinafort,67820-7309
Huntington Library,"Apt. 527 8931 Scottie Circles, Russelhaven, VT 59374-4457",1916,7599 Joette Mission,Cormierport,98884-6597
Illinois State Library,"5898 Crona Loop, North Junior, MS 78187-8172",1903,773 Dickinson Shoal,Lake Divina,04287
Imperial College Central Library,"620 Sauer Court, Lake Mariann, AR 23027-1319",1976,88074 Huel Hollow,Walkerfort,63128-2689
Imperial Library of Constantinople,"8496 Shad Course, Shareehaven, AL 11686",1934,7464 Hartmann Parks,Schneiderton,86832-5819
International Library of African Music,"Suite 553 140 Welch Via, Idellstad, IL 43446-0040",1955,25152 Tillman Landing,East Kit,53794-1491
Jacksonville Public Library,"4219 Streich Cliff, South Stephani, AZ 05872",1950,138 Farrell Points,Sabineburgh,55154-2331
James V. Brown Library,"Apt. 640 6591 Forest Squares, Collinsbury, IA 57230",1967,592 Graham Pines,West Ethylburgh,64607-7823
Jenkins Law Library,"Apt. 318 772 Goldner Parks, Runolfsdottirside, LA 30271",2013,995 Salvador Shoals,Kihnhaven,35044-7386
John Crerar Library,"Apt. 777 51777 Lind Meadows, Theronside, TX 55834",1975,877 Johns Forge,New Arlen,63774
John Rylands Library,"Suite 881 5455 McKenzie Courts, Aracelifort, MA 81851-3487",1946,128 Dewitt Fort,East Angelica,45787
John Rylands University Library,"46382 O'Connell Gateway, West Jamison, DE 39354-2367",1999,435 Mitchell Ferry,South Keenantown,03928-4838
"Jubilee Library, Brighton","651 Titus Islands, Lake Curtland, IN 67098",1987,2281 Bettye Bypass,Margretville,47670
Kedermister Library,"Apt. 409 422 Veda Freeway, Zemlakville, OH 70773",1935,76646 Flor Valleys,Leuschkeborough,10738-3331
Kenton County Public Library,"Suite 680 45708 Hilma Track, Legrosport, NE 90020",1933,5658 Swift Landing,North Chereefort,86468-6524
Kenton County Public Library,"74237 Hickle Rue, Garyborough, OH 46881",1900,47257 Powlowski Harbors,New Lenny,05981-0895
Knight Library,"3338 Ferry Mountains, Merryfurt, NV 38053",1942,9076 Nilsa Drives,Alfredoport,16758
Leiden University Library,"9591 Friesen Junction, Darechester, HI 46349",1968,8029 Johns Road,Port Lillianaville,02089-7578
Library of Alexandria,"Apt. 558 4448 Adam Village, Jaytown, NJ 97460",1902,9353 Krajcik Extensions,Bartellland,52599
Library of Birmingham,"Suite 899 21529 Dickinson Trail, Huelview, KY 39998",1993,7995 Korey Extensions,Port Carmenport,96789
Library of Congress,"91455 Gregorio Unions, Champlinview, MS 55036",2005,81833 Shira Manor,Dorseyfort,19541-1092
Library of Parliament,"804 Marvin Mews, New Maile, NY 67264",1933,5014 Moen Camp,Port Michal,98477
Library of Sir Thomas Browne,"4925 Zaida Ways, Mullerstad, AZ 72824-8280",2002,649 Kshlerin Gardens,Mrazton,28895
Library of the Russian Academy of Sciences,"60100 Collier Garden, North Gregorio, IA 38748-2231",2007,8891 Beer Inlet,Auerberg,06809
Library of Universiti Sains Malaysia,"1300 Markus Falls, South Warner, NH 18721",1975,9361 Murray Dam,Corkeryport,78128
Lied Library,"68022 Phoebe Summit, Hettingerhaven, VA 75242",2021,4739 Littel Walk,Willshire,49265
Lilly Library,"Apt. 117 170 Harlan Crossing, Vandervortburgh, IL 37069-3013",1911,3250 Bobby Pike,Hoppeland,84167
Linen Hall Library,"Suite 752 4378 Judson Underpass, Lake Gabriel, FL 90924-1601",1985,348 Boyle Circle,South Shaniqua,54356
Lithuanian Technical Library,"Suite 579 1372 Bogan Lake, South Jose, SC 18949",1985,812 Jean Forest,North Yukofort,50438
London Library,"1758 Sporer Rapids, North Chantell, FL 61819",1900,41487 Considine Well,Lake Danial,37205
Los Angeles Central Library,"Suite 340 7114 Eusebio Branch, North Iselaland, PA 01947-9245",2018,27707 Mayert Key,Nicolaston,57217
Louisville Free Public Library,"1559 Darwin Camp, Rippinton, UT 77115",2005,32960 Littel Place,Shawnhaven,87105
Louisville Public Library,"Apt. 228 50980 Erdman Well, West Carmenview, WV 24221-6397",1947,63534 Roob Ford,New Clarence,70328-2548
Ludwigshafen University Library,"90874 Cliff Mills, East Gracielafort, AK 29034-2574",2007,65042 Carlotta Center,North Vincent,58554-8416
Luís Ángel Arango Library,"36098 Janel Station, Donnaview, MO 09817",1936,82293 Barbera River,South Dellashire,36805
Makerere University Library,"Apt. 830 99182 Chelsie Valley, New Russellhaven, NE 38463-7832",1907,5128 Hugh Tunnel,Port Adelashire,17148
Malcolm A. Love Library,"65530 Reinger Vista, South Josettestad, ND 70641-6358",1994,65879 Man Corners,Torphaven,13963
Malek National Library,"42498 Leuschke Meadows, East Eduardofort, PA 04706-2474",2020,408 Doyle Pass,Port Damion,37738
Manchester Central Library,"Apt. 174 38327 Ilana Coves, Soilaland, MS 69258",1957,4226 Emard Port,Port Markusstad,04548-7326
Marathon County Public Library,"Suite 649 875 Kohler Garden, Port Manualmouth, NE 95058",1978,5478 Dolores Drive,East Carmine,51648-4988
Mário de Andrade Library,"Suite 555 489 Veum Locks, East Dominickside, OH 39384-2844",1996,788 Shanti Road,Port Keirabury,43738-0087
Mark O. Hatfield Library,"3378 Kuhn Landing, New Erick, WY 90797-6203",1938,93216 Ziemann Cape,North Johnathon,99194
Marsh's Library,"Suite 657 206 Bartoletti Lake, South Ellamaeside, ME 02812",1912,905 Carmine Motorway,Nickshire,50548
Martynas Mažvydas National Library of Lithuania,"7168 Paucek Lodge, Zemlakfurt, CO 19064",2011,2623 Glinda Mountains,Bernardhaven,37629
Masood Jhandir Research Library,"Apt. 364 1888 Jean Club, Donnettamouth, WY 43073-1820",1914,691 Kertzmann Fork,Dewittfort,78427-8275
Maughan Library,"Suite 175 77979 Hodkiewicz Spur, Kautzerfort, RI 46575",1960,97952 Dickens Square,Lindseytown,54751
McGill University Library,"Apt. 400 9282 Harvey Parks, Mullerport, NC 70448-7770",1977,2214 Diedre Circle,West Renabury,78639
Merton College Library,"1856 Connelly Ports, Lottieville, NM 58556",2005,146 Tromp Via,East Jeseniaborough,22053
Miami-Dade Public Library System,"80972 Yong Stravenue, South Salvadorstad, FL 88540",1987,21221 Quigley Curve,Russelchester,34192
Minneapolis Public Library,"Apt. 657 5465 Carter Path, Emiliaport, OR 28568-9192",1978,72885 Adriene Station,South Trevorside,91023-2258
Mitchell Library,"Suite 221 822 Bernhard Junction, East Walter, MT 95177",2017,77674 Maryanne Hollow,South Darahaven,86948-4599
Moncton Public Library,"Suite 357 9337 Judson Flats, North Tim, MO 75857-3614",1933,13993 Parker Extension,North Darlafurt,20205
Morton Grove Public Library,"Apt. 236 67404 Adam Place, East Coltonburgh, NM 03656-2744",1956,69465 Samuel Rapids,Morissetteland,52283
Multnomah County Library,"Apt. 613 119 Leuschke Loaf, Evelynchester, RI 10970",2003,3626 Corrinne Tunnel,Labadieton,21232-5154
Musical Electronics Library,"81636 Carolee Estate, Lake Palmira, ND 38672",2002,346 Joye Land,Kossbury,98476-9707
National Agricultural Library,"Apt. 630 606 Bertram Groves, Wolfmouth, MN 64204",1914,977 Schumm Parks,East Rob,69986-3397
National Central Library,"550 Corwin Spurs, Handshire, TN 40286-5634",1920,4171 Nienow Grove,Bartolettibury,58611
National Central Library,"6305 King Forest, Julenehaven, NM 91081",1919,44943 Ja Fort,Birgitmouth,57715
National Diet Library,"380 Bahringer Overpass, West Louis, VA 92406",1996,884 Corina Fords,Ebertmouth,89032
National Library of Armenia,"54391 Eleonora Road, New Burtonstad, AR 16614-8781",1970,491 Cremin Cove,Lake Douglass,58345
National Library of Australia,"74199 Schmidt Street, West Kirkville, MS 60396-4614",1959,786 Hoeger Station,Kuhlmanland,32421
National and University Library of Bosnia and Herzegovina,"Suite 103 8396 Kutch Field, North Isiahfurt, OR 77478-6820",1990,691 Bartoletti Turnpike,Mantebury,43983
National Library of Brazil,"32213 Kemmer Camp, South Rosalieland, IA 30557",1985,872 Herschel Gardens,Lake Shaquita,19690
National Library of Canada,"Apt. 458 223 Miller River, Port Ardath, GA 94472",1941,110 Loyd Mountains,East Chanport,45768-8341
National Library of China,"Apt. 856 42414 Hilll Turnpike, North Bradford, MD 34781-1399",2015,5622 Romaguera Landing,Roobmouth,97305
National Library of India,"90773 Gregg Crossing, Torphyborough, SC 91593",1929,2003 Lesch Glens,Kathiemouth,39503-4029
National Library of Iran,"5525 Bergnaum Trafficway, Lake Arnold, CA 82079-4987",2004,7899 Jenny Divide,North Davis,48804-1848
National Library of Ireland,"47663 Nikolaus Canyon, East Chase, VT 78598-3848",1916,7597 Larkin Loop,West Alfredshire,38626
National Library of Israel,"1345 Duane Cliff, West Errol, MD 90306",1921,116 Cristen Pass,Veniceborough,24294-1149
National Library of Malaysia,"Apt. 134 350 Maisha Plains, North Jordon, RI 13357",1934,513 Shirly Glen,Adellfort,76969
National Library of Medicine,"831 Goyette Fork, MacGyvermouth, ID 92939-9850",1945,9277 Jerry Coves,Port Casimiramouth,68425
National Library of New Zealand,"Apt. 177 98642 Schowalter Ridges, West Aronborough, MS 35275",1955,7244 India Lights,North Slyviaside,15199
National Library of Nigeria,"871 Johnson Freeway, Lake Rudymouth, GA 01624-6466",1908,8372 Jon Rapids,Ericchester,91546-5314
National Library of Pakistan,"Apt. 400 5566 Lloyd Mill, South Arthurport, ND 09678",1977,9274 Amelia Branch,New Deeannton,87083-3581
National Library of Public Information,"Suite 854 4913 Brooke Crossing, Port Rogelioburgh, MN 63726-8713",2014,623 Kihn Flat,Longbury,17934-7553
National Library of Russia,"914 Steuber Terrace, Roryport, FL 08814-0335",1959,2590 Yost Station,South Edfort,12892
National Library of Scotland,"Suite 693 91140 Mayert Field, Deloiseport, ND 87093",1917,827 Schiller Viaduct,Raneeshire,59875-6498
National Library of Serbia,"Apt. 416 549 Abernathy Well, Sarahfort, ID 10781",2010,3881 Bauch Plain,Felicitaborough,25378
National Library of South Africa,"8128 Garry Common, North Chongfurt, NJ 94960",2015,1233 Marco Coves,Bethannfort,68141
National Library of Wales,"246 Prohaska Square, Sashashire, VA 85531-6232",1989,589 Shelba Track,North Tuan,36079
National Library,"63006 Fredricka Shoals, Benedictview, KS 95964-5240",1982,9151 Harris Junctions,North Malikmouth,83115-5995
New Orleans Public Library,"135 Breitenberg Circle, West Yungton, NE 90687",1908,5759 Macejkovic Row,Lake Romainetown,28985
New York Public Library,"Suite 344 3281 Anderson Ville, Crooksside, SD 98219-0416",1942,9619 Schneider Turnpike,Lake Lauraborough,44297-0890
Newberry Library,"Apt. 631 77064 Odette Brooks, East Joyce, NY 21153-6890",1987,8765 Hilpert Ways,East Samiraville,48575-0314
Nottingham Subscription Library,"Apt. 344 4928 Nicholle Manors, Port Elishafort, FL 53905",1941,77082 Gibson Garden,East Shantae,18302
"O'Meara Mathematics Library, Notre Dame, Indiana","Apt. 954 571 Rolfson Station, New Harley, VA 06109",2005,160 McGlynn Fords,Deckowland,37445
Orange County Library System,"30373 Tim Mews, North Lyle, KY 23060-4914",1954,154 Mann Corner,Lake Kory,75778
Oregon State Library,"Suite 192 80990 Sondra Rue, Haleyshire, MD 44948-5083",1973,548 Twanda Parks,Ullrichbury,59838
Orlando East Public Library,"Apt. 140 4461 Price Courts, South Wilfredoton, RI 82256",1995,8239 Pearle Square,North Edgardobury,93223-6053
Ottawa Public Library,"6373 Steve Meadows, Carmineton, CO 88603",1915,239 Nicolas Wall,Lake Trudiemouth,20898
Pack Memorial Library,"Suite 945 1328 Considine Haven, Earlberg, NJ 03894",1907,943 VonRueden Ports,North Skye,84213-8940
Palm Beach County Library System,"Suite 163 8904 Kathyrn Hill, North Adrienside, FL 15906",2014,49950 Mayer Row,East Merlinside,03161-0487
Park Ridge Public Library,"Suite 369 20907 Hester Trace, Lindfort, NH 91527",1924,2063 Carroll Fall,North Refugio,68374-3478
Parker Library,"Suite 651 90991 Fahey Mountain, Jeannafurt, DE 04398-2360",1963,820 Rashad Circles,New Gordonfurt,92157
Peckham Library,"Suite 306 40154 Romelia Shores, Salomechester, SC 29207",2000,137 Kristen Roads,North Mishaberg,15009
Peking University Library,"Apt. 952 22928 Mamie Highway, South Kathernside, OH 34711-4689",1974,56411 Labadie Station,Olgastad,10415
Pepys Library,"Suite 853 604 Sommer Turnpike, West Luisa, PA 19913-9405",1936,3032 Aida Springs,Billyeton,43400-9639
Pikes Peak Library District,"Suite 393 8004 Swaniawski Station, Darrylland, LA 21951",1914,2462 Gibson Isle,Hegmannside,86000
Plainfield Public Library District,"Apt. 462 92216 Seymour Valleys, Tamathaton, MN 35523",1995,556 Walter Haven,New Alex,50847-6285
Powell Library,"80348 Chang Roads, East Edgardo, IN 75227",2010,8262 Weimann Court,Lake Ramirotown,27741
Prince George's County Memorial Library System,"3141 Ulysses Plains, Rosannamouth, MS 26696-4013",1908,62581 Sherwood Common,Port Clevelandville,69196
Pritzker Military Library,"Suite 334 6143 Kaye Extension, Lake Coral, AZ 23386",1932,478 Ruben Hollow,Wuckertport,54021
Public Library of Charlotte and Mecklenburg County,"Apt. 673 208 Rosaura Walk, East Cammy, WV 41643",1907,332 Reichert Plaza,Bertramville,93882
"Punjab Public Library, Lahore","Apt. 998 943 Olive Trafficway, East Tommyland, AZ 50203",1985,9526 Howe Circle,Abernathyview,61110-7053
Quaid-e-Azam Library,"885 Tod Freeway, Russelborough, CT 11195-0832",1961,252 Kuvalis Square,Goldnerview,38986
Queens Library,"901 Mosciski Groves, Port Mika, WI 95957",1978,773 Cesar Alley,North Dinobury,04202
Regenstein Library,"248 Andre Station, Pedroburgh, ID 61780-2885",1923,9870 Bins Groves,East Marybethland,14804
Regina Public Library,"877 Shizue Walks, Lake Germanville, GA 79286-8687",2003,54845 Jast Rapid,East Fausto,87859-7693
Rhodes University Library,"9349 Noreen Stravenue, Morrisstad, UT 41628-7796",2012,189 Krajcik Brook,Ricefort,88163-5775
Rock Island Public Library,"8701 Tuan Unions, Adamsmouth, SD 95118",2006,7916 Maude Crossing,East Adalberto,22526-1490
Robarts Library,"Apt. 256 7357 Kshlerin Ports, Kimberlimouth, ME 75162",2002,9787 Monty Knolls,Lake Randolph,21482-9834
Royal Danish Library,"935 King Throughway, McDermottside, WV 98062",1970,62383 Alida Ford,East Teresa,56858
